codigo_municipio,municipio,grupo,variable,mes,totales_total-m,totales-1_total-f,totales-2_total
10704,VILLA CHARCAS,intoxicaciones,plaguicidas,2015-06-01,0,1,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-06-01,7,2,9
60301,YACUIBA,intoxicaciones,plaguicidas,2015-06-01,1,1,2
20905,CAIROMA,intoxicaciones,plaguicidas,2015-07-01,1,2,3
22001,CARANAVI,intoxicaciones,plaguicidas,2015-07-01,3,2,5
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-07-01,9,14,23
31002,COLOMI,intoxicaciones,plaguicidas,2015-07-01,2,0,2
21402,CORIPATA,intoxicaciones,plaguicidas,2015-07-01,1,0,1
10902,CULPINA,intoxicaciones,plaguicidas,2015-07-01,0,1,1
20105,EL ALTO,intoxicaciones,plaguicidas,2015-07-01,1,3,4
20405,ESCOMA,intoxicaciones,plaguicidas,2015-07-01,0,1,1
20101,LA PAZ,intoxicaciones,plaguicidas,2015-07-01,1,0,1
70701,LAGUNILLAS,intoxicaciones,plaguicidas,2015-07-01,0,1,1
71001,MONTERO,intoxicaciones,plaguicidas,2015-07-01,0,1,1
60201,PADCAYA,intoxicaciones,plaguicidas,2015-07-01,0,1,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-07-01,2,1,3
31401,PUNATA,intoxicaciones,plaguicidas,2015-07-01,1,0,1
70901,SAMAIPATA,intoxicaciones,plaguicidas,2015-07-01,1,0,1
71005,SAN PEDRO,intoxicaciones,plaguicidas,2015-07-01,2,0,2
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-07-01,3,2,5
31602,SHINAOTA,intoxicaciones,plaguicidas,2015-07-01,1,0,1
10101,SUCRE,intoxicaciones,plaguicidas,2015-07-01,0,3,3
60101,TARIJA,intoxicaciones,plaguicidas,2015-07-01,0,4,4
10202,TARVITA,intoxicaciones,plaguicidas,2015-07-01,1,0,1
30903,TIQUIPAYA,intoxicaciones,plaguicidas,2015-07-01,1,0,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-07-01,5,4,9
51501,VILLAZON,intoxicaciones,plaguicidas,2015-07-01,0,1,1
70403,YAPACANI,intoxicaciones,plaguicidas,2015-07-01,1,0,1
30201,AIQUILE,intoxicaciones,plaguicidas,2015-08-01,1,1,2
31303,ALALAY,intoxicaciones,plaguicidas,2015-08-01,0,1,1
20202,ANCORAIMES,intoxicaciones,plaguicidas,2015-08-01,1,0,1
71501,ASCENCION DE GUARAYOS,intoxicaciones,plaguicidas,2015-08-01,1,0,1
60202,BERMEJO,intoxicaciones,plaguicidas,2015-08-01,2,0,2
20905,CAIROMA,intoxicaciones,plaguicidas,2015-08-01,1,0,1
22001,CARANAVI,intoxicaciones,plaguicidas,2015-08-01,2,1,3
21101,CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2015-08-01,1,2,3
90101,COBIJA,intoxicaciones,plaguicidas,2015-08-01,0,1,1
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-08-01,6,7,13
20105,EL ALTO,intoxicaciones,plaguicidas,2015-08-01,4,3,7
71503,EL PUENTE(STC),intoxicaciones,plaguicidas,2015-08-01,1,0,1
20405,ESCOMA,intoxicaciones,plaguicidas,2015-08-01,0,1,1
21105,LA ASUNTA,intoxicaciones,plaguicidas,2015-08-01,1,0,1
70903,MAIRANA,intoxicaciones,plaguicidas,2015-08-01,0,1,1
10501,MONTEAGUDO,intoxicaciones,plaguicidas,2015-08-01,1,1,2
60201,PADCAYA,intoxicaciones,plaguicidas,2015-08-01,1,0,1
70502,PAILON,intoxicaciones,plaguicidas,2015-08-01,1,0,1
31203,POCONA,intoxicaciones,plaguicidas,2015-08-01,1,0,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-08-01,2,1,3
31401,PUNATA,intoxicaciones,plaguicidas,2015-08-01,1,1,2
80201,RIBERALTA,intoxicaciones,plaguicidas,2015-08-01,0,1,1
31001,SACABA,intoxicaciones,plaguicidas,2015-08-01,2,0,2
70901,SAMAIPATA,intoxicaciones,plaguicidas,2015-08-01,1,1,2
71104,SAN JULIAN,intoxicaciones,plaguicidas,2015-08-01,2,0,2
71005,SAN PEDRO,intoxicaciones,plaguicidas,2015-08-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-08-01,1,4,5
21301,SICA SICA (VILLA AROMA),intoxicaciones,plaguicidas,2015-08-01,0,1,1
30902,SIPE SIPE,intoxicaciones,plaguicidas,2015-08-01,1,0,1
60101,TARIJA,intoxicaciones,plaguicidas,2015-08-01,5,3,8
10202,TARVITA,intoxicaciones,plaguicidas,2015-08-01,1,0,1
50102,TINGUIPAYA,intoxicaciones,plaguicidas,2015-08-01,0,1,1
31601,TIRAQUE (CBBA),intoxicaciones,plaguicidas,2015-08-01,1,0,1
60401,URIONDO (A. CONCEPCION),intoxicaciones,plaguicidas,2015-08-01,1,0,1
10801,VILLA SERRANO,intoxicaciones,plaguicidas,2015-08-01,0,1,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-08-01,8,7,15
60301,YACUIBA,intoxicaciones,plaguicidas,2015-08-01,0,1,1
30601,ARQUE,intoxicaciones,plaguicidas,2015-09-01,1,0,1
21101,CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2015-09-01,3,3,6
90101,COBIJA,intoxicaciones,plaguicidas,2015-09-01,1,4,5
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-09-01,8,14,22
31002,COLOMI,intoxicaciones,plaguicidas,2015-09-01,1,0,1
71101,CONCEPCION,intoxicaciones,plaguicidas,2015-09-01,1,0,1
21402,CORIPATA,intoxicaciones,plaguicidas,2015-09-01,0,1,1
50601,COTAGAITA,intoxicaciones,plaguicidas,2015-09-01,0,1,1
10902,CULPINA,intoxicaciones,plaguicidas,2015-09-01,2,0,2
20105,EL ALTO,intoxicaciones,plaguicidas,2015-09-01,2,2,4
70105,EL TORNO,intoxicaciones,plaguicidas,2015-09-01,1,0,1
31206,ENTRE RIOS CBBA,intoxicaciones,plaguicidas,2015-09-01,0,1,1
20405,ESCOMA,intoxicaciones,plaguicidas,2015-09-01,0,5,5
70104,LA GUARDIA,intoxicaciones,plaguicidas,2015-09-01,3,0,3
71001,MONTERO,intoxicaciones,plaguicidas,2015-09-01,0,0,0
60201,PADCAYA,intoxicaciones,plaguicidas,2015-09-01,1,0,1
20401,PUERTO ACOSTA,intoxicaciones,plaguicidas,2015-09-01,0,1,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-09-01,1,2,3
31401,PUNATA,intoxicaciones,plaguicidas,2015-09-01,0,1,1
31001,SACABA,intoxicaciones,plaguicidas,2015-09-01,0,1,1
71302,SAIPINA,intoxicaciones,plaguicidas,2015-09-01,1,1,2
60501,SAN LORENZO(TJA),intoxicaciones,plaguicidas,2015-09-01,0,1,1
71005,SAN PEDRO,intoxicaciones,plaguicidas,2015-09-01,3,0,3
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-09-01,1,3,4
31602,SHINAOTA,intoxicaciones,plaguicidas,2015-09-01,1,0,1
10101,SUCRE,intoxicaciones,plaguicidas,2015-09-01,0,2,2
60101,TARIJA,intoxicaciones,plaguicidas,2015-09-01,1,1,2
30903,TIQUIPAYA,intoxicaciones,plaguicidas,2015-09-01,0,1,1
70801,VALLEGRANDE,intoxicaciones,plaguicidas,2015-09-01,1,0,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-09-01,4,6,10
50602,VITICHI,intoxicaciones,plaguicidas,2015-09-01,1,0,1
60301,YACUIBA,intoxicaciones,plaguicidas,2015-09-01,1,1,2
70706,CAMIRI,intoxicaciones,plaguicidas,2015-10-01,1,0,1
22001,CARANAVI,intoxicaciones,plaguicidas,2015-10-01,1,1,2
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-10-01,9,18,27
21004,COLQUIRI,intoxicaciones,plaguicidas,2015-10-01,0,1,1
21401,COROICO,intoxicaciones,plaguicidas,2015-10-01,0,1,1
50601,COTAGAITA,intoxicaciones,plaguicidas,2015-10-01,1,0,1
70102,COTOCA,intoxicaciones,plaguicidas,2015-10-01,1,0,1
20105,EL ALTO,intoxicaciones,plaguicidas,2015-10-01,4,4,8
71503,EL PUENTE(STC),intoxicaciones,plaguicidas,2015-10-01,1,0,1
31206,ENTRE RIOS CBBA,intoxicaciones,plaguicidas,2015-10-01,1,0,1
10304,ICLA,intoxicaciones,plaguicidas,2015-10-01,1,1,2
20101,LA PAZ,intoxicaciones,plaguicidas,2015-10-01,0,1,1
50203,LLALLAGUA,intoxicaciones,plaguicidas,2015-10-01,0,4,4
70903,MAIRANA,intoxicaciones,plaguicidas,2015-10-01,3,0,3
30302,MOROCHATA,intoxicaciones,plaguicidas,2015-10-01,0,1,1
21104,PALOS BLANCOS,intoxicaciones,plaguicidas,2015-10-01,0,1,1
21802,PAPEL PAMPA,intoxicaciones,plaguicidas,2015-10-01,0,1,1
20702,PELECHUCO,intoxicaciones,plaguicidas,2015-10-01,1,0,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-10-01,1,0,1
31401,PUNATA,intoxicaciones,plaguicidas,2015-10-01,0,4,4
71104,SAN JULIAN,intoxicaciones,plaguicidas,2015-10-01,0,1,1
